time,bpm,source,device
2018-05-20T14:00:00Z,82.0,health_connect,unknown
2018-05-21T14:00:00Z,80.0,health_connect,unknown
2018-05-22T14:00:00Z,82.0,health_connect,unknown
2018-05-23T14:00:00Z,80.0,health_connect,unknown
2018-05-24T14:00:00Z,80.0,health_connect,unknown
2018-05-25T14:00:00Z,82.0,health_connect,unknown
2018-05-26T14:00:00Z,81.0,health_connect,unknown
2018-05-27T14:00:00Z,80.0,health_connect,unknown
2018-05-28T14:00:00Z,81.0,health_connect,unknown
2018-05-29T14:00:00Z,80.0,health_connect,unknown
2018-05-30T14:00:00Z,83.0,health_connect,unknown
2018-05-31T14:00:00Z,82.0,health_connect,unknown
2018-06-01T14:00:00Z,82.0,health_connect,unknown
2018-06-02T14:00:00Z,81.0,health_connect,unknown
2018-06-03T14:00:00Z,80.0,health_connect,unknown
2018-06-04T14:00:00Z,80.0,health_connect,unknown
2018-06-05T14:00:00Z,80.0,health_connect,unknown
2018-06-06T14:00:00Z,80.0,health_connect,unknown
2018-06-07T14:00:00Z,82.0,health_connect,unknown
2018-06-08T14:00:00Z,82.0,health_connect,unknown
2018-06-09T14:00:00Z,83.0,health_connect,unknown
2018-06-10T14:00:00Z,84.0,health_connect,unknown
2018-06-11T14:00:00Z,82.0,health_connect,unknown
2018-06-12T14:00:00Z,84.0,health_connect,unknown
2018-07-20T14:00:00Z,82.0,health_connect,unknown
2018-07-21T14:00:00Z,81.0,health_connect,unknown
2018-07-22T14:00:00Z,82.0,health_connect,unknown
2018-07-23T14:00:00Z,83.0,health_connect,unknown
2018-07-24T14:00:00Z,82.0,health_connect,unknown
2018-07-25T14:00:00Z,82.0,health_connect,unknown
2018-07-26T14:00:00Z,81.0,health_connect,unknown
2018-07-27T14:00:00Z,81.0,health_connect,unknown
2018-07-28T14:00:00Z,80.0,health_connect,unknown
2018-07-29T14:00:00Z,80.0,health_connect,unknown
2018-07-30T14:00:00Z,79.0,health_connect,unknown
2018-07-31T14:00:00Z,77.0,health_connect,unknown
