time,spo2_pct,pulse_bpm
2021-04-12T08:26:00Z,96.0,97.0
2021-04-12T12:47:00Z,96.0,88.0
2021-04-12T15:22:00Z,96.0,89.0
2021-04-12T16:09:00Z,93.5,87.0
2021-04-12T17:09:00Z,95.0,84.0
2021-04-12T19:41:00Z,94.0,78.0
2021-04-12T20:41:00Z,96.0,72.0
2021-04-12T21:11:00Z,98.0,74.0
2021-04-12T22:59:00Z,95.0,71.0
2021-04-13T00:00:00Z,95.5,65.5
2021-04-13T01:24:00Z,94.0,77.0
2021-04-13T05:56:00Z,92.0,110.0
2021-04-13T17:12:00Z,90.0,96.0
2021-04-13T17:42:00Z,93.0,94.0
2021-04-13T18:12:00Z,96.0,85.0
2021-04-13T21:29:00Z,94.0,77.0
2021-04-13T22:20:00Z,97.0,81.0
2021-04-13T23:31:00Z,95.0,79.0
2021-04-14T00:01:00Z,97.0,66.0
2021-04-14T01:15:00Z,97.5,75.0
2021-04-14T02:38:00Z,96.0,71.0
2021-04-14T04:00:00Z,97.0,80.0
2021-04-14T05:18:00Z,96.0,75.0
2021-04-15T13:04:00Z,100.0,90.0
2021-04-15T14:26:00Z,96.0,89.0
2021-04-15T15:23:00Z,99.0,88.0
2021-04-15T16:27:00Z,93.0,88.0
2021-04-15T16:57:00Z,94.0,83.0
2021-04-15T17:56:00Z,94.0,76.0
2021-04-15T18:26:00Z,99.5,75.5
2021-04-15T19:26:00Z,96.0,74.0
2021-04-15T20:58:00Z,94.0,77.0
2021-04-15T21:28:00Z,92.0,77.0
2021-04-15T23:47:00Z,96.0,71.0
2021-04-16T00:17:00Z,95.5,70.5
2021-04-16T01:17:00Z,96.0,69.0
2021-04-16T02:53:00Z,98.0,79.0
2021-04-16T03:56:00Z,87.0,91.0
2021-04-16T16:40:00Z,98.0,84.0
2021-04-16T18:10:00Z,98.0,89.0
2021-04-16T19:26:00Z,99.0,82.0
2021-04-16T21:28:00Z,95.5,80.5
2021-04-16T22:28:00Z,96.0,82.0
2021-04-17T04:05:00Z,93.0,84.0
2021-04-17T09:04:00Z,97.0,101.5
2021-04-17T10:30:00Z,93.0,98.0
2021-04-17T13:25:00Z,96.0,90.0
2021-04-17T14:14:00Z,97.5,89.5
2021-04-17T16:55:00Z,96.0,89.0
2021-04-17T17:25:00Z,95.0,79.0
2021-04-17T18:30:00Z,96.0,85.0
2021-04-17T19:00:00Z,97.5,83.5
2021-04-17T20:00:00Z,99.0,78.5
2021-04-17T21:14:00Z,96.0,83.0
2021-04-17T22:06:00Z,96.0,80.5
2021-04-17T23:06:00Z,96.5,76.0
